particle_id,time_s,x_m,y_m,path_m
1001,0.00000000000000000e+00,8.00000000000000000e+04,6.00000000000000000e+04,0.00000000000000000e+00
1002,0.00000000000000000e+00,2.00000000000000000e+05,1.50000000000000000e+05,0.00000000000000000e+00
1003,0.00000000000000000e+00,3.20000000000000000e+05,2.40000000000000000e+05,0.00000000000000000e+00
1001,9.00000000000000000e+02,8.01365784403600410e+04,5.99692544237241673e+04,1.39996288635500349e+02
1002,9.00000000000000000e+02,2.00141453073401412e+05,1.49983570604507404e+05,1.42403992257791884e+02
1003,9.00000000000000000e+02,3.20146327706442797e+05,2.39997886785290611e+05,1.46342964809440844e+02
1001,1.80000000000000000e+03,8.02733650781999895e+04,5.99384533162010630e+04,2.80207887714203821e+02
1002,1.80000000000000000e+03,2.00283114111278555e+05,1.49967086698003201e+05,2.85020852502536059e+02
1003,1.80000000000000000e+03,3.20292863144357165e+05,2.39995720079805295e+05,2.92894420542284934e+02
1001,2.70000000000000000e+03,8.04103599305360112e+04,5.99075966935580072e+04,4.20634810800570449e+02
1002,2.70000000000000000e+03,2.00424983130589826e+05,1.49950548296636087e+05,4.27850602065158455e+02
1003,2.70000000000000000e+03,3.20439606330643699e+05,2.39993499899714137e+05,4.39654401194919387e+02
1001,3.60000000000000000e+03,8.05475630143848248e+04,5.98766845719244957e+04,5.61277071453297367e+02
1002,3.60000000000000000e+03,2.00567060148294142e+05,1.49933955416556972e+05,5.70893262237123963e+02
1003,3.60000000000000000e+03,3.20586557282203517e+05,2.39991226261189411e+05,5.86622940673534345e+02
1001,4.50000000000000000e+03,8.06849743467636872e+04,5.98457169674321922e+04,7.02134683225348681e+02
1002,4.50000000000000000e+03,2.00709345181351004e+05,1.49917308073918859e+05,7.14148854270743868e+02
1003,4.50000000000000000e+03,3.20733716015938378e+05,2.39988899180405482e+05,7.33800072794739435e+02
1001,5.40000000000000000e+03,8.08225939446904376e+04,5.98146938962149361e+04,8.43207659664039397e+02
1002,5.40000000000000000e+03,2.00851838246720406e+05,1.49900606284876965e+05,8.57617399379310427e+02
1003,5.40000000000000000e+03,3.20881082548750448e+05,2.39986518673538929e+05,8.81185831285824634e+02
1001,6.30000000000000000e+03,8.09604218251834536e+04,5.97836153744087205e+04,9.84496014311039630e+02
1002,6.30000000000000000e+03,2.00994539361362957e+05,1.49883850065588631e+05,1.00129891873745544e+03
1003,6.30000000000000000e+03,3.21028656897542533e+05,2.39984084756768483e+05,1.02878024978548638e+03
1001,7.20000000000000000e+03,8.10984580052616657e+04,5.97524814181517213e+04,1.12599976070242428e+03
1002,7.20000000000000000e+03,2.01137448542239756e+05,1.49867039432213409e+05,1.14519343348125585e+03
1003,7.20000000000000000e+03,3.21176439079217904e+05,2.39981597446275031e+05,1.17658336184414111e+03
1001,8.10000000000000000e+03,8.12367025019445718e+04,5.97212920435842825e+04,1.26771891236873239e+03
1002,8.10000000000000000e+03,2.01280565806312516e+05,1.49850174400912976e+05,1.28930096470858871e+03
1003,8.10000000000000000e+03,3.21324429110680474e+05,2.39979056758241612e+05,1.32459520092458661e+03
1001,9.00000000000000000e+03,8.13751553322522086e+04,5.96900472668489092e+04,1.40965348283498133e+03
1002,9.00000000000000000e+03,2.01423891170543444e+05,1.49833254987851193e+05,1.43362153347923731e+03
1003,9.00000000000000000e+03,3.21472627008834679e+05,2.39976462708853418e+05,1.47281580040236690e+03
1001,9.90000000000000000e+03,8.15138165132051799e+04,5.96587471040902819e+04,1.55180348562073300e+03
1002,9.90000000000000000e+03,2.01567424651895300e+05,1.49816281209194072e+05,1.57815516081517831e+03
1003,9.90000000000000000e+03,3.21621032790585421e+05,2.39973815314297826e+05,1.62124519356619339e+03
1001,1.08000000000000000e+04,8.16526860618246428e+04,5.96273915714552495e+04,1.69416893424012233e+03
1002,1.08000000000000000e+04,2.01711166267331457e+05,1.49799253081109840e+05,1.72290186770085802e+03
1003,1.08000000000000000e+04,3.21769646472838242e+05,2.39971114590764366e+05,1.76988341361859625e+03
1001,1.17000000000000000e+04,8.17917639951323072e+04,5.95959806850928289e+04,1.83674984220189685e+03
1002,1.17000000000000000e+04,2.01855116033815750e+05,1.49782170619768818e+05,1.86786167508328390e+03
1003,1.17000000000000000e+04,3.21918468072499207e+05,2.39968360554444720e+05,1.91873049367628005e+03
1001,1.26000000000000000e+04,8.19310503301504359e+04,5.95645144611542128e+04,1.97954622300945630e+03
1002,1.26000000000000000e+04,2.01999273968312627e+05,1.49765033841343538e+05,2.01303460387237737e+03
1003,1.26000000000000000e+04,3.22067497606474848e+05,2.39965553221532755e+05,2.06778646677053530e+03
1001,1.35000000000000000e+04,8.20705450839018449e+04,5.95329929157927545e+04,2.12255809016089461e+03
1002,1.35000000000000000e+04,2.02143640087787091e+05,1.49747842762008688e+05,2.15842067494114326e+03
1003,1.35000000000000000e+04,3.22216735091672337e+05,2.39962692608224490e+05,2.21705136584788124e+03
1001,1.44000000000000000e+04,8.22102482734099176e+04,5.95014160651639904e+04,2.26578545714905022e+03
1002,1.44000000000000000e+04,2.02288214409204636e+05,1.49730597397941106e+05,2.30401990912582960e+03
1003,1.44000000000000000e+04,3.22366180544999370e+05,2.39959778730718070e+05,2.36652522377041123e+03
1001,1.53000000000000000e+04,8.23501599156985758e+04,5.94697839254256105e+04,2.40922833746152128e+03
1002,1.53000000000000000e+04,2.02432996949531342e+05,1.49713297765319818e+05,2.44983232722622870e+03
1003,1.53000000000000000e+04,3.22515833983364108e+05,2.39956811605213850e+05,2.51620807331619608e+03
1001,1.62000000000000000e+04,8.24902800277922943e+04,5.94380965127374948e+04,2.55288674458071227e+03
1002,1.62000000000000000e+04,2.02577987725733838e+05,1.49695943880325998e+05,2.59585795000586631e+03
1003,1.62000000000000000e+04,3.22665695423675410e+05,2.39953791247914342e+05,2.66609994717997415e+03
1001,1.71000000000000000e+04,8.26306086267161299e+04,5.94063538432616770e+04,2.69676069198390860e+03
1002,1.71000000000000000e+04,2.02723186754779308e+05,1.49678535759143007e+05,2.74209679819221219e+03
1003,1.71000000000000000e+04,3.22815764882842544e+05,2.39950717675024178e+05,2.81620087797331507e+03
1001,1.80000000000000000e+04,8.27711457294956635e+04,5.93745559331623663e+04,2.84085019314325427e+03
1002,1.80000000000000000e+04,2.02868594053635490e+05,1.49661073417956359e+05,2.88854889247689607e+03
1003,1.80000000000000000e+04,3.22966042377775360e+05,2.39947590902750206e+05,2.96651089822524591e+03
1001,1.89000000000000000e+04,8.29118913531570288e+04,5.93427027986059547e+04,2.98515526152581515e+03
1002,1.89000000000000000e+04,2.03014209639270615e+05,1.49643556872953748e+05,3.03521425351585776e+03
1003,1.89000000000000000e+04,3.23116527925384289e+05,2.39944410947301396e+05,3.11703004038269910e+03
1001,1.98000000000000000e+04,8.30528455147269415e+04,5.93107944557609881e+04,3.12967591059365259e+03
1002,1.98000000000000000e+04,2.03160033528653556e+05,1.49625986140325025e+05,3.18209290192970320e+03
1003,1.98000000000000000e+04,3.23267221542580228e+05,2.39941177824888902e+05,3.26775833681084259e+03
1001,2.07000000000000000e+04,8.31940082312326558e+04,5.92788309207981874e+04,3.27441215380381345e+03
1002,2.07000000000000000e+04,2.03306065738753648e+05,1.49608361236262193e+05,3.32918485830374038e+03
1003,2.07000000000000000e+04,3.23418123246274714e+05,2.39937891551726032e+05,3.41869581979369696e+03
1001,2.16000000000000000e+04,8.33353795197019790e+04,5.92468122098904569e+04,3.41936400460838013e+03
1002,2.16000000000000000e+04,2.03452306286540843e+05,1.49590682176959439e+05,3.47649014318832633e+03
1003,2.16000000000000000e+04,3.23569233053379750e+05,2.39934552144028276e+05,3.56984252153440048e+03
1001,2.25000000000000000e+04,8.34769593971632567e+04,5.92147383392128540e+04,3.56453147645450008e+03
1002,2.25000000000000000e+04,2.03598755188985582e+05,1.49572948978613131e+05,3.62400877709895576e+03
1003,2.25000000000000000e+04,3.23720550980807981e+05,2.39931159618013247e+05,3.72119847415582126e+03
1001,2.34000000000000000e+04,8.36187478806454310e+04,5.91826093249426194e+04,3.70991458278447135e+03
1002,2.34000000000000000e+04,2.03745412463058921e+05,1.49555161657421762e+05,3.77174078051658853e+03
1003,2.34000000000000000e+04,3.23872077045472455e+05,2.39927713989900745e+05,3.87276370970075823e+03
1001,2.43000000000000000e+04,8.37607449871779536e+04,5.91504251832591690e+04,3.85551333703569753e+03
1002,2.43000000000000000e+04,2.03892278125732410e+05,1.49537320229586039e+05,3.91968617388772464e+03
1003,2.43000000000000000e+04,3.24023811264286924e+05,2.39924215275912749e+05,4.02453826013266280e+03
1001,2.52000000000000000e+04,8.39029507337908581e+04,5.91181859303440797e+04,4.00132775264079692e+03
1002,2.52000000000000000e+04,2.04039352193978179e+05,1.49519424711308820e+05,4.06784497762469937e+03
1003,2.52000000000000000e+04,3.24175753654165543e+05,2.39920663492273365e+05,4.17652215733577850e+03
1001,2.61000000000000000e+04,8.40453651375147310e+04,5.90858915823811112e+04,4.14735784302760567e+03
1002,2.61000000000000000e+04,2.04186634684768884e+05,1.49501475118795119e+05,4.21621721210582473e+03
1003,2.61000000000000000e+04,3.24327904232023051e+05,2.39917058655208908e+05,4.32871543311573896e+03
1001,2.70000000000000000e+04,8.41879882153806975e+04,5.90535421555561843e+04,4.29360362161920420e+03
1002,2.70000000000000000e+04,2.04334125615077734e+05,1.49483471468252101e+05,4.36480289767561680e+03
1003,2.70000000000000000e+04,3.24480263014774770e+05,2.39913400780947821e+05,4.48111811919999127e+03
1001,2.79000000000000000e+04,8.43308199844204355e+04,5.90211376660574024e+04,4.44006510183396131e+03
1002,2.79000000000000000e+04,2.04481825001878518e+05,1.49465413775889145e+05,4.51360205464501269e+03
1003,2.79000000000000000e+04,3.24632830019336601e+05,2.39909689885720698e+05,4.63373024723821982e+03
1001,2.88000000000000000e+04,8.44738604616661905e+04,5.89886781300750299e+04,4.58674229708558960e+03
1002,2.88000000000000000e+04,2.04629732862145524e+05,1.49447302057917783e+05,4.66261470329148869e+03
1003,2.88000000000000000e+04,3.24785605262624857e+05,2.39905925985760347e+05,4.78655184880258366e+03
1001,2.97000000000000000e+04,8.46171096641507611e+04,5.89561635638015141e+04,4.73363522078316055e+03
1002,2.97000000000000000e+04,2.04777849212853645e+05,1.49429136330551701e+05,4.81184086385936735e+03
1003,2.97000000000000000e+04,3.24938588761556486e+05,2.39902109097301727e+05,4.93958295538836683e+03
1001,3.06000000000000000e+04,8.47605676089074987e+04,5.89235939834314704e+04,4.88074388633114177e+03
1002,3.06000000000000000e+04,2.04926174070978275e+05,1.49410916610006767e+05,4.96128055655989101e+03
1003,3.06000000000000000e+04,3.25091780533049023e+05,2.39898239236581925e+05,5.09282359841433481e+03
1001,3.15000000000000000e+04,8.49042343129702931e+04,5.88909694051616898e+04,5.02806830712941792e+03
1002,3.15000000000000000e+04,2.05074707453495386e+05,1.49392642912501004e+05,5.11093380157150659e+03
1003,3.15000000000000000e+04,3.25245180594020407e+05,2.39894316419840208e+05,5.24627380922296652e+03
1001,3.24000000000000000e+04,8.50481097933736164e+04,5.88582898451911315e+04,5.17560849657336712e+03
1002,3.24000000000000000e+04,2.05223449377381476e+05,1.49374315254254616e+05,5.26080061903998921e+03
1003,3.24000000000000000e+04,3.25398788961389218e+05,2.39890340663318028e+05,5.39993361908109273e+03
1001,3.33000000000000000e+04,8.51921940671524644e+04,5.88255553197209301e+04,5.32336446805383639e+03
1002,3.33000000000000000e+04,2.05372399859613593e+05,1.49355933651489991e+05,5.41088102907866414e+03
1003,3.33000000000000000e+04,3.25552605652074621e+05,2.39886311983258958e+05,5.55380305918024624e+03
1001,3.42000000000000000e+04,8.53364871513424005e+04,5.87927658449543960e+04,5.47133623495721986e+03
1002,3.42000000000000000e+04,2.05521558917169372e+05,1.49337498120431643e+05,5.56117505176862778e+03
1003,3.42000000000000000e+04,3.25706630682996241e+05,2.39882230395908788e+05,5.70788216063694381e+03
1001,3.51000000000000000e+04,8.54809890629795409e+04,5.87599214370970149e+04,5.61952381066547514e+03
1002,3.51000000000000000e+04,2.05670926567026938e+05,1.49319008677306294e+05,5.71168270715883682e+03
1003,3.51000000000000000e+04,3.25860864071074233e+05,2.39878095917515457e+05,5.86217095449314456e+03
1001,3.60000000000000000e+04,8.56256998191005550e+04,5.87270221123564334e+04,5.76792720855616335e+03
1002,3.60000000000000000e+04,2.05820502826165000e+05,1.49300465338342794e+05,5.86240401526639016e+03
1003,3.60000000000000000e+04,3.26015305833229388e+05,2.39873908564329060e+05,6.01666947171676384e+03
1001,3.69000000000000000e+04,8.57706194367426651e+04,5.86940678869424883e+04,5.91654644200247276e+03
1002,3.69000000000000000e+04,2.05970287711562822e+05,1.49281868119772233e+05,6.01333899607667081e+03
1003,3.69000000000000000e+04,3.26169955986382964e+05,2.39869668352601846e+05,6.17137774320189237e+03
1001,3.78000000000000000e+04,8.59157479329436464e+04,5.86610587770671773e+04,6.06538152437325880e+03
